generation_id,created_at,cost_total,cost_web_search,cost_cache,cost_file_processing,byok_usage_inference,tokens_prompt,tokens_completion,tokens_reasoning,tokens_cached,model_permaslug,provider_name,variant,cancelled,streamed,user,finish_reason_raw,finish_reason_normalized,generation_time_ms,time_to_first_token_ms,app_name,api_key_name
gen-1774311001-ATnadJ1y5e2Hen5bL8CV,2026-03-24 00:10:01.634,0.000216,,,,0,510,478,384,0,openai/gpt-5-nano-2025-08-07,OpenAI,standard,false,true,,completed,stop,9099,9031,,libri
gen-1774310995-16iav0rCGbTXDUKXq1op,2026-03-24 00:09:55.754,0.001081,,,,0,1146,2560,2560,0,openai/gpt-5-nano-2025-08-07,OpenAI,standard,false,true,,max_output_tokens,length,65691,420,,libri
gen-1774310982-Rtyiaj2b6I8KMphE1H4C,2026-03-24 00:09:42.877,0.000422,,,0,0,1338,369,0,0,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,7937,346,,libri
gen-1774310972-QD89j1qTBHHYFi5JDWVq,2026-03-24 00:09:32.267,0.001109,,,,0,1711,2560,2560,0,openai/gpt-5-nano-2025-08-07,OpenAI,standard,false,true,,max_output_tokens,length,47893,191,,libri
gen-1774310965-YQHUepdet8Bxl9DtKSvl,2026-03-24 00:09:25.721,0.001089,,,,0,1472,2539,2432,0,openai/gpt-5-nano-2025-08-07,OpenAI,standard,false,true,,completed,stop,30192,30135,,libri
gen-1774310947-yYniTYeg1pf7I8Ds2WEW,2026-03-24 00:09:07.714,0.000576,,,0,0,2069,444,0,0,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,12188,1539,,libri
gen-1774310944-BqqOuHimFcyPhVQyegtG,2026-03-24 00:09:04.461,0.000982,,,0,0,1745,1202,0,0,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,22793,510,,libri
gen-1774310919-Yka6BAbzZAgdZpY8n13n,2026-03-24 00:08:39.286,0.00109,,,,0,1337,2560,2560,0,openai/gpt-5-nano-2025-08-07,OpenAI,standard,false,true,,max_output_tokens,length,63535,1595,,libri
gen-1774310900-7RBFvH36Z4JDzRJgj9CP,2026-03-24 00:08:20.189,0.000564,,,0,0,948,704,0,0,openai/gpt-4o-mini,OpenAI,standard,false,true,,stop,stop,14062,512,,libri
gen-1774310864-BVKbj6BUGeCCDWqGBXiw,2026-03-24 00:07:44.902,0.001127,,,,0,2068,2560,2560,0,openai/gpt-5-nano-2025-08-07,OpenAI,standard,false,true,,max_output_tokens,length,82739,246,,libri
gen-1774310859-Qfh7b7dVmUuWxcFvwdnB,2026-03-24 00:07:39.970,0.001111,,,,0,1744,2560,2560,0,openai/gpt-5-nano-2025-08-07,OpenAI,standard,false,true,,max_output_tokens,length,84406,277,,libri
gen-1774310851-DsEWqvmb7jZfVqcfToSL,2026-03-24 00:07:31.013,0.000287,,,,0,510,656,576,0,openai/gpt-5-nano-2025-08-07,OpenAI,standard,false,true,,completed,stop,8890,8833,,libri
gen-1774310841-7usFuuDJZuKV0WvkZprg,2026-03-24 00:07:21.075,0.000196,,,,0,669,407,320,0,openai/gpt-5-nano-2025-08-07,OpenAI,standard,false,true,,completed,stop,4795,4734,,libri
gen-1774310838-qEKTisGwJLs71JKmqr29,2026-03-24 00:07:18.626,0.001071,,,,0,947,2560,2560,0,openai/gpt-5-nano-2025-08-07,OpenAI,standard,false,true,,max_output_tokens,length,61502,168,,libri
gen-1774310825-2ZqfAtHGQ7F0lWfgUOdT,2026-03-24 00:07:05.387,0.000287,,,,0,1019,592,512,0,openai/gpt-5-nano-2025-08-07,OpenAI,standard,false,true,,completed,stop,5426,5367,,libri
gen-1774310824-30h69qYun6g9sV9xJiJO,2026-03-24 00:07:04.346,0.001046,,,,0,1377,2445,2368,0,openai/gpt-5-nano-2025-08-07,OpenAI,standard,false,true,,completed,stop,30171,30128,,libri
gen-1774310824-mkEYxGFpROQ0HTAcp33Q,2026-03-24 00:07:04.242,0.000272,,,,0,981,559,512,0,openai/gpt-5-nano-2025-08-07,OpenAI,standard,false,true,,completed,stop,8882,8781,,libri
gen-1774277938-v7N8jve0K0da8ly6Hrxc,2026-03-23 14:58:58.773,0.003252,,,0,0,2729,537,220,0,deepseek/deepseek-r1,Novita,standard,false,true,,stop,stop,20819,1276,BuildOS Next Steps Generator,buildos
gen-1774277923-iS5kAcBvTkKPgH6g7hSV,2026-03-23 14:58:43.658,0.002654,,,0,0,1746,573,446,0,deepseek/deepseek-r1,Novita,standard,false,true,,stop,stop,14143,1070,BuildOS Next Steps Generator,buildos
